162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,0
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,0
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,0
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,0
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
333,621,162,216,333,621,162,216,333,621,162,216,54,72,27,54,1
216,333,621,162,216,333,621,162,216,333,621,162,54,54,72,27,1
162,216,333,621,162,216,333,621,162,216,333,621,27,54,54,72,1
621,162,216,333,621,162,216,333,621,162,216,333,72,27,54,54,1
